,Year,Month,State,Basin,Field,Well,Environment,Installation,Oil (m³),Condensate oil (m³),Associated petroleum gas (Mm³),Non-associated petroleum gas (Mm³),Water (m³),Gas injection (Mm³),Secondary recovery water injection (m³),Wastewater injection (m³),CO2 injection (Mm³),Nitrogen injection (Mm³),Steam injection (t),Polymer injection (m³),Others fluids injection (m³)
141348,2019,1,SP,Santos,ATAPU,1-BRSA-1146-RJS,Sea,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan
141349,2019,1,SP,Santos,ATAPU,3-BRSA-1172-RJS,Sea,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan
141350,2019,1,SP,Santos,ATAPU,9-ATP-1-RJS,Sea,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan
141351,2019,1,SP,Santos,ATAPU,9-ATP-3-RJS,Sea,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan
141352,2019,1,SP,Santos,ATAPU,9-BRSA-1284-RJS,Sea,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan
141353,2019,1,SP,Santos,ATLANTA,7-ATL-2HP-RJS,Sea,Petrojarl 1,23521.05,Nan,972.67508,Nan,52.72,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan
141354,2019,1,SP,Santos,ATLANTA,7-ATL-3H-RJS,Sea,Petrojarl 1,35899.27,Nan,1445.41892,Nan,6.7,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan
141355,2019,1,SP,Santos,BERBIGÃO,3-BRSA-1132-RJS,Sea,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan
141356,2019,1,SP,Santos,BERBIGÃO,9-BBG-1D-RJS,Sea,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan
141357,2019,1,SP,Santos,BÚZIOS,3-BRSA-1053-RJS,Sea,Petrobras 75 (P-75),106734.36,Nan,26525.438,Nan,106.842,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan
141358,2019,1,SP,Santos,BÚZIOS,7-BUZ-17-RJS,Sea,Petrobras 74 (P-74),69631.808,Nan,15611.85102,Nan,209.523,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan
141359,2019,1,SP,Santos,BÚZIOS,7-BUZ-6-RJS,Sea,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan
141360,2019,1,SP,Santos,BÚZIOS,8-BUZ-11A-RJS,Sea,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan
141361,2019,1,SP,Santos,BÚZIOS,8-BUZ-15-RJS,Sea,Petrobras 74 (P-74),Nan,Nan,Nan,Nan,Nan,16127.61777,Nan,Nan,Nan,Nan,Nan,Nan,Nan
141362,2019,1,SP,Santos,BÚZIOS,8-BUZ-20-RJS,Sea,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan
141363,2019,1,SP,Santos,BÚZIOS,9-BRSA-1159-RJS,Sea,Petrobras 74 (P-74),Nan,Nan,Nan,Nan,Nan,28701.86103,Nan,Nan,Nan,Nan,Nan,Nan,Nan
141364,2019,1,SP,Santos,BÚZIOS,9-BRSA-1191-RJS,Sea,Petrobras 74 (P-74),116075.89,Nan,25537.40409,Nan,116.19,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan
141365,2019,1,SP,Santos,BÚZIOS,9-BUZ-3-RJS,Sea,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan
141366,2019,1,SP,Santos,BÚZIOS,9-BUZ-7-RJS,Sea,Petrobras 74 (P-74),58689.392,Nan,13184.47352,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan
141367,2019,1,SP,Santos,ITAPU,1-BRSA-1116-RJS,Sea,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan
141368,2019,1,SP,Santos,ITAPU,3-BRSA-1215-RJS,Sea,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan
141369,2019,1,SP,Santos,LULA,3-BRSA-496-RJS,Sea,FPSO CIDADE DE ANGRA DOS REIS,107295.125,Nan,35579.40216,Nan,3936.64,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan
141370,2019,1,SP,Santos,LULA,3-BRSA-755A-RJS,Sea,FPSO CIDADE DE PARATY,Nan,Nan,Nan,Nan,Nan,60963.815,Nan,Nan,12049.0445,Nan,Nan,Nan,Nan
141371,2019,1,SP,Santos,LULA,3-BRSA-821-RJS,Sea,FPSO CIDADE DE PARATY,46399.909,Nan,18592.9073,Nan,3422.294,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan
141372,2019,1,SP,Santos,LULA,3-BRSA-830-RJS,Sea,FPSO CIDADE DE MANGARATIBA,60291.588,Nan,27398.03276,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan
141373,2019,1,SP,Santos,LULA,3-BRSA-839A-RJS,Sea,FPSO CIDADE DE ITAGUAÍ,100973.111,Nan,27933.64557,Nan,61.289,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan
141374,2019,1,SP,Santos,LULA,3-BRSA-854-RJS,Sea,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan
141375,2019,1,SP,Santos,LULA,3-BRSA-865A-RJS,Sea,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan
141376,2019,1,SP,Santos,LULA,3-BRSA-883-RJS,Sea,Petrobras 66 (P-66),53316.419,Nan,17573.80883,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan
141377,2019,1,SP,Santos,LULA,4-BRSA-711-RJS,Sea,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan
141378,2019,1,SP,Santos,LULA,7-LL-10-RJS,Sea,FPSO CIDADE DE SAQUAREMA,Nan,Nan,Nan,Nan,Nan,2031.92,35193.69,Nan,763.82081,Nan,Nan,Nan,Nan
141379,2019,1,SP,Santos,LULA,7-LL-100-RJS,Sea,Petrobras 66 (P-66),88653.974,Nan,22734.66483,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan
141380,2019,1,SP,Santos,LULA,7-LL-102D-RJS,Sea,Petrobras 66 (P-66),68244.617,Nan,14732.1739,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan
141381,2019,1,SP,Santos,LULA,7-LL-106DA-RJS,Sea,FPSO CIDADE DE SAQUAREMA,0.09,Nan,0.01841,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan
141382,2019,1,SP,Santos,LULA,7-LL-11-RJS,Sea,FPSO CIDADE DE PARATY,37916.637,Nan,8299.04845,Nan,23546.969,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan
